thershold,hi-d50-m2-cbow.model,hi-d50-m2-sg.model,hi-d50-glove.txt,hi-d50-m2-fasttext.model,hi-d100-m2-cbow.model,hi-d100-m2-sg.model,hi-d100-glove.txt,hi-d100-m2-fasttext.model
0.4,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692,0.5692307692307692
0.5,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.4307692307692308
0.6,0.3230769230769231,0.3230769230769231,0.3230769230769231,0.3230769230769231,0.3230769230769231,0.3230769230769231,0.3230769230769231,0.3230769230769231
0.7,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
0.8,0.1076923076923077,0.1076923076923077,0.1076923076923077,0.1076923076923077,0.1076923076923077,0.1076923076923077,0.1076923076923077,0.1076923076923077
